original,actualitzat
"Kamppi","Kamppi"
"Alppiharju","Alppila"
"Töölö","Töölö"
"Ullanlinna","Ullanlinna"
"Sörnäinen","Sörnäinen"
"Taka-Töölö","Töölö"
"Harju","Kallio"
"Kallio","Kallio"
"Jätkäsaari","Jätkäsaari"
"Lauttasaari","Lauttasaari"
"Itä-Pasila","Itä-Pasila"
"Vallila","Valilla"
"Alppila","Alppila"
"Hermanni","Hermanni"
"Etu-Töölö","Töölö"
"Pasila","Pasila"
"Hakaniemi","Kallio"
"Punavuori","Punavuori"
"Kulosaari","Kulosaari"
"Hermanninranta","Hermanni"
"Sompasaari","Sompasaari"
"Länsi-Pasila","Pasila"
"Torkkelinmäki","Kallio"
"Kalasatama","Kalasatama"
"Kallio/ Torkkelinmäki","Kallio"
"Länsisatama","Jätkäsaari"
"Postipuisto", "Pasila"
"Herttoniemi","Herttoniemi"
"Merihaka","Merihaka"
"Hietalahti","Kamppi"
"Ruoholahti","Ruoholahti"
"Linjat","Kallio"
"Alppiharju / Kallio","Alppila"
"Kamppi - Hietalahti","Kamppi"
"Länsi Pasila", "Pasila"
"Alppila;Kallio","Alppila"
"Helsinki","Helsinki"
"Vattuniemi","Lauttasaari"
"Alppiharju/Kallio","Alppila"
"Harju/Kallio","Kallio"
"Harju / Kallio","Kallio"

